NODE_KEY,PRODUCT_ID,TYPE_CODE,CATEGORY,DESCRIPTION,SUPPLIER_GUID_NODE_KEY,TAX_TARIF_CODE,MEASURE_UNIT,WEIGHT_UNIT,WEIGHT_MEASURE,CURRENCY_CODE,PRICE,WIDTH,DEPTH,DIM_UNIT
PRD001,PROD-1001,FG,Electronics,4K UHD Smart TV,BP1001,1,EA,KG,14.5,USD,799.99,122.0,8.0,CM
PRD002,PROD-1002,FG,Furniture,Ergonomic Office Chair,BP1002,2,EA,KG,11.2,INR,5500.00,45.0,45.0,CM
PRD003,PROD-1003,RM,Electronics,Lithium Ion Battery Pack,BP1003,1,EA,KG,2.1,EUR,69.99,15.0,3.0,CM
PRD004,PROD-1004,FG,Office Supplies,Wireless Keyboard & Mouse Combo,BP1004,1,EA,KG,1.2,GBP,34.50,42.0,3.5,CM
PRD005,PROD-1005,FG,Software,Enterprise SaaS License - Annual,BP1005,0,EA,KG,0.0,AUD,1200.00,0.0,0.0,NA
PRD006,PROD-1006,FG,Electronics,Smartphone Model X 128GB,BP1006,1,EA,KG,0.5,JPY,95000,7.5,0.8,CM
PRD007,PROD-1007,FG,Electronics,Bluetooth Headphones Noise Canceling,BP1007,1,EA,KG,0.6,CAD,199.00,18.0,3.0,CM
PRD008,PROD-1008,FG,Furniture,Adjustable Standing Desk,BP1008,2,EA,KG,21.0,EUR,275.00,120.0,60.0,CM
PRD009,PROD-1009,RM,Electronics,Microcontroller Development Kit,BP1009,1,EA,KG,0.3,SGD,85.00,10.0,2.0,CM
PRD010,PROD-1010,FG,Office Supplies,Laser Printer A4 Mono,BP1010,1,EA,KG,9.8,INR,15200.00,50.0,30.0,CM
